customer_id,seller_id,order_id,customer_age,account_age_days,total_orders,total_returns,product_category,product_price,order_value,seller_rating,seller_defect_rate,delivery_days,distance_km,product_weight_kg,return_reason,payment_method,shipping_method,customer_segment,device_type,avg_days_to_return,days_since_last_purchase,num_payment_methods_used,used_multiple_addresses,used_multiple_payment_methods,return_without_tags,packaging_damaged_claim,is_holiday_purchase,return_percentage,is_luxury_product,is_high_value_order,price_category,seller_reliability_score,delivery_risk_score,customer_lifetime_value,avg_order_value,is_seasonal_return,customer_risk_score,fraud_risk_raw_score,is_fraud
CUST100000,SELL1487,ORD500000,22,1269,8,0,Beauty,33.86,44.1,3.34,0.1065,4,79.3,0.17,Missing Parts,UPI,Standard,VIP,Mobile Web,5.0,271,5,False,True,False,False,False,0.0,0,0,Mid-Range,59.69,15.69,44.1,5.51,0,29.17,0.0215,0
CUST100001,SELL1281,ORD500001,58,1139,18,0,Fashion,36.79,43.23,3.34,0.1964,3,32.7,2.31,Size Issue,Debit Card,Same Day,Regular,Mobile Web,1.5,27,1,False,False,False,False,False,0.0,0,0,Mid-Range,53.68,10.33,43.23,2.4,0,33.25,0.1261,0
CUST100002,SELL1026,ORD500002,52,182,9,3,Books,151.75,150.98,3.24,0.1249,4,199.6,1.38,Quality Issue,UPI,Standard,Regular,Mobile Web,3.9,289,2,False,False,False,False,True,33.33,0,0,Premium,56.71,22.16,150.98,16.78,1,60.46,0.197,0
CUST100003,SELL1263,ORD500003,40,298,18,1,Footwear,69.01,66.38,4.24,0.1354,3,137.1,1.5,Quality Issue,UPI,Same Day,New,Desktop Web,6.4,121,3,True,True,False,False,False,5.56,0,0,Mid-Range,73.32,15.95,66.38,3.69,0,41.87,0.2222,0
CUST100004,SELL1323,ORD500004,40,1488,4,1,Home & Kitchen,150.44,203.3,2.78,0.0348,3,58.4,1.19,Defective / Not Working,Net Banking,Express,New,Mobile Web,1.2,14,2,True,False,True,False,False,25.0,0,1,Premium,53.67,11.71,203.3,50.82,0,44.85,0.3009,1
CUST100005,SELL1370,ORD500005,62,1423,15,2,Books,55.89,75.56,2.68,0.0487,4,207.3,0.64,Better Price Found,Credit Card,Same Day,New,Mobile Web,1.4,231,2,False,False,False,False,False,13.33,0,0,Mid-Range,50.99,22.58,75.56,5.04,0,39.37,0.0968,0
CUST100006,SELL1090,ORD500006,22,1387,10,3,Electronics,120.44,127.38,3.34,0.1558,3,151.2,3.83,Defective / Not Working,Credit Card,Standard,VIP,Mobile Web,0.3,266,4,True,True,False,False,False,30.0,0,0,Premium,56.39,16.7,127.38,12.74,0,48.15,0.2629,1
CUST100007,SELL1419,ORD500007,54,391,23,9,Beauty,56.17,59.24,3.91,0.0878,3,296.0,0.27,Defective / Not Working,Wallet,Same Day,Loyal,Mobile App,0.0,122,2,False,False,False,False,False,39.13,0,0,Mid-Range,71.33,24.49,59.24,2.58,0,61.9,0.1739,0
CUST100008,SELL1129,ORD500008,28,1275,7,2,Footwear,118.9,119.02,4.23,0.0328,5,44.4,1.5,Wrong Item Delivered,Net Banking,Standard,VIP,Desktop Web,2.9,338,4,False,True,False,False,False,28.57,0,0,Premium,81.83,16.67,119.02,17.0,0,44.47,0.1082,0
CUST100009,SELL1459,ORD500009,22,153,6,1,Books,144.98,189.6,3.61,0.0837,6,157.8,2.99,Wrong Item Delivered,UPI,Express,New,Mobile Web,4.6,117,3,False,True,False,False,False,16.67,0,0,Premium,66.16,25.63,189.6,31.6,0,52.94,0.183,0
CUST100010,SELL1327,ORD500010,45,361,6,1,Electronics,43.39,60.7,3.99,0.0346,6,119.5,1.06,Damaged in Transit,Credit Card,Express,Loyal,Mobile Web,32.0,49,1,True,False,False,False,False,16.67,0,0,Mid-Range,77.04,23.57,60.7,10.12,0,17.61,0.1092,0
CUST100011,SELL1496,ORD500011,68,1247,10,1,Mobile Accessories,23.11,26.35,4.86,0.0748,10,51.6,0.97,Missing Parts,Cash on Delivery,Express,Regular,Desktop Web,6.2,127,3,False,True,False,False,False,10.0,0,0,Budget,89.93,31.35,26.35,2.64,0,32.27,0.0769,0
CUST100012,SELL1274,ORD500012,56,1542,8,2,Toys,161.89,165.53,3.89,0.0429,6,86.2,2.35,Size Issue,Credit Card,Express,Loyal,Desktop Web,0.3,92,4,False,True,True,False,False,25.0,0,0,Premium,74.46,21.78,165.53,20.69,0,45.9,0.1857,0
